id,source,create_time,create_time_ms,currency_pair,base_currency,quote_currency,side,role,amount,price,order_id,fee,fee_currency
earn_HYPE_1766178657000,earn,1766178657,1766178657000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766179302000,earn,1766179302,1766179302000,USDT_USDT,USDT,USDT,earn,earn,0.002788,0.0,,0.0,USDT
earn_HYPE_1766182027000,earn,1766182027,1766182027000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766182450000,earn,1766182450,1766182450000,USDT_USDT,USDT,USDT,earn,earn,0.002788,0.0,,0.0,USDT
earn_HYPE_1766186422000,earn,1766186422,1766186422000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766186730000,earn,1766186730,1766186730000,USDT_USDT,USDT,USDT,earn,earn,0.002788,0.0,,0.0,USDT
earn_HYPE_1766189905000,earn,1766189905,1766189905000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766190273000,earn,1766190273,1766190273000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
earn_USDT_1766193072000,earn,1766193072,1766193072000,USDT_USDT,USDT,USDT,earn,earn,0.00285,0.0,,0.0,USDT
earn_HYPE_1766194051000,earn,1766194051,1766194051000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766196780000,earn,1766196780,1766196780000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
earn_HYPE_1766197216000,earn,1766197216,1766197216000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766200418000,earn,1766200418,1766200418000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
earn_HYPE_1766201054000,earn,1766201054,1766201054000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766203769000,earn,1766203769,1766203769000,USDT_USDT,USDT,USDT,earn,earn,0.002767,0.0,,0.0,USDT
earn_HYPE_1766204041000,earn,1766204041,1766204041000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766207549000,earn,1766207549,1766207549000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766207695000,earn,1766207695,1766207695000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
earn_HYPE_1766211131000,earn,1766211131,1766211131000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766211914000,earn,1766211914,1766211914000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
earn_USDT_1766214679000,earn,1766214679,1766214679000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
earn_HYPE_1766215600000,earn,1766215600,1766215600000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766217955000,earn,1766217955,1766217955000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766218452000,earn,1766218452,1766218452000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
earn_USDT_1766222333000,earn,1766222333,1766222333000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
earn_HYPE_1766222697000,earn,1766222697,1766222697000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766226002000,earn,1766226002,1766226002000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766226277000,earn,1766226277,1766226277000,USDT_USDT,USDT,USDT,earn,earn,0.002788,0.0,,0.0,USDT
earn_HYPE_1766229002000,earn,1766229002,1766229002000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766229905000,earn,1766229905,1766229905000,USDT_USDT,USDT,USDT,earn,earn,0.002788,0.0,,0.0,USDT
earn_HYPE_1766233087000,earn,1766233087,1766233087000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766233291000,earn,1766233291,1766233291000,USDT_USDT,USDT,USDT,earn,earn,0.002789,0.0,,0.0,USDT
earn_USDT_1766236176000,earn,1766236176,1766236176000,USDT_USDT,USDT,USDT,earn,earn,0.002788,0.0,,0.0,USDT
earn_HYPE_1766236679000,earn,1766236679,1766236679000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766239726000,earn,1766239726,1766239726000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766240720000,earn,1766240720,1766240720000,USDT_USDT,USDT,USDT,earn,earn,0.002788,0.0,,0.0,USDT
earn_HYPE_1766244126000,earn,1766244126,1766244126000,HYPE_USDT,HYPE,USDT,earn,earn,1.3e-05,0.0,,0.0,HYPE
earn_USDT_1766244281000,earn,1766244281,1766244281000,USDT_USDT,USDT,USDT,earn,earn,0.002789,0.0,,0.0,USDT
earn_HYPE_1766246400313,earn,1766246400,1766246400313,HYPE_USDT,HYPE,USDT,earn,earn,2.01596,0.0,,0.0,HYPE
earn_USDT_1766246400238,earn,1766246400,1766246400238,USDT_USDT,USDT,USDT,earn,earn,50.0,0.0,,0.0,USDT
spot_15913458,spot,1766246400,1766246400299,HYPE_USDT,HYPE,USDT,buy,taker,2.02,24.7,981335470950.0,0.00404,HYPE
earn_HYPE_1766246899000,earn,1766246899,1766246899000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766247365000,earn,1766247365,1766247365000,USDT_USDT,USDT,USDT,earn,earn,0.00274,0.0,,0.0,USDT
earn_USDT_1766250562000,earn,1766250562,1766250562000,USDT_USDT,USDT,USDT,earn,earn,0.00274,0.0,,0.0,USDT
earn_HYPE_1766250884000,earn,1766250884,1766250884000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766254472000,earn,1766254472,1766254472000,USDT_USDT,USDT,USDT,earn,earn,0.002741,0.0,,0.0,USDT
earn_HYPE_1766254585000,earn,1766254585,1766254585000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766257532000,earn,1766257532,1766257532000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766258537000,earn,1766258537,1766258537000,USDT_USDT,USDT,USDT,earn,earn,0.00274,0.0,,0.0,USDT
earn_HYPE_1766262010000,earn,1766262010,1766262010000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766262267000,earn,1766262267,1766262267000,USDT_USDT,USDT,USDT,earn,earn,0.00278,0.0,,0.0,USDT
earn_USDT_1766265215000,earn,1766265215,1766265215000,USDT_USDT,USDT,USDT,earn,earn,0.002781,0.0,,0.0,USDT
earn_HYPE_1766265587000,earn,1766265587,1766265587000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766268492000,earn,1766268492,1766268492000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766269019000,earn,1766269019,1766269019000,USDT_USDT,USDT,USDT,earn,earn,0.00278,0.0,,0.0,USDT
earn_USDT_1766272170000,earn,1766272170,1766272170000,USDT_USDT,USDT,USDT,earn,earn,0.002781,0.0,,0.0,USDT
earn_HYPE_1766273115000,earn,1766273115,1766273115000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766275973000,earn,1766275973,1766275973000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766276564000,earn,1766276564,1766276564000,USDT_USDT,USDT,USDT,earn,earn,0.0028,0.0,,0.0,USDT
